Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,SG,24,SAC,49,49,1205,177,407,0.435,6,21,0.28600000000000003,171,386,0.44299999999999995,0.442,94,136,0.691,72,114,186,50,50,16,70,121,454
Shareef Abdur-Rahim,SF,22,VAN,50,50,2021,386,893,0.43200000000000005,11,36,0.306,375,857,0.43799999999999994,0.43799999999999994,369,439,0.841,114,260,374,172,69,55,186,137,1152
Cory Alexander,PG,25,DEN,36,4,778,97,260,0.373,30,105,0.28600000000000003,67,155,0.43200000000000005,0.431,37,44,0.841,7,67,74,119,35,5,69,77,261
Ray Allen*,SG,23,MIL,50,50,1719,303,673,0.45,74,208,0.35600000000000004,229,465,0.49200000000000005,0.505,176,195,0.903,57,155,212,178,53,7,122,117,856
Peter Aluma,C,25,SAC,2,0,5,1,2,0.5,0,0,0.0,1,2,0.5,0.5,0,0,0.0,1,1,2,0,1,1,2,4,2
Derek Anderson,SG,24,CLE,38,13,978,125,314,0.39799999999999996,21,69,0.304,104,245,0.424,0.43200000000000005,138,165,0.836,20,89,109,145,48,4,82,73,409
Kenny Anderson,PG,28,BOS,34,33,1010,161,357,0.451,6,24,0.25,155,333,0.465,0.45899999999999996,84,101,0.8320000000000001,24,79,103,193,33,2,71,78,412
Nick Anderson,SF,31,ORL,47,39,1581,253,640,0.395,96,277,0.34700000000000003,157,363,0.433,0.47,99,162,0.611,51,226,277,91,64,15,83,72,701
Shandon Anderson,SG,25,UTA,50,2,1072,162,363,0.446,14,41,0.341,148,322,0.46,0.466,89,125,0.7120000000000001,49,83,132,56,39,10,66,89,427
Chris Anstey,C,24,DAL,41,4,470,50,139,0.36,0,7,0.0,50,132,0.379,0.36,34,48,0.708,35,62,97,27,18,13,26,98,134
Greg Anthony,PG,31,POR,50,0,806,104,251,0.414,49,125,0.392,55,126,0.43700000000000006,0.512,62,89,0.6970000000000001,14,49,63,100,66,3,55,75,319
B.J. Armstrong,PG,31,TOT,32,1,358,40,88,0.455,7,15,0.467,33,73,0.452,0.494,18,21,0.857,2,37,39,61,12,0,25,31,105
Darrell Armstrong,PG,30,ORL,50,15,1502,230,522,0.441,69,189,0.365,161,333,0.483,0.507,161,178,0.904,53,127,180,335,108,4,158,90,690
Keith Askins,SF,31,MIA,33,13,415,20,62,0.32299999999999995,8,29,0.276,12,33,0.364,0.387,5,8,0.625,10,34,44,10,17,3,13,58,53
Stacey Augmon,SF,30,POR,48,21,874,78,174,0.44799999999999995,0,2,0.0,78,172,0.45299999999999996,0.44799999999999995,52,76,0.684,47,78,125,58,57,18,30,81,208
