Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mahmoud Abdul-Rauf,PG,27,SAC,75,2131,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,2.0,0.7,2.7,0.06,-0.2,-3.4,-3.5,-0.8
Shareef Abdur-Rahim,PF,20,VAN,80,2802,17.4,0.518,0.022000000000000002,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,-0.8,-1.2,-2.0,0.0
Rafael Addison,SF,32,CHH,41,355,10.6,0.47600000000000003,0.16399999999999998,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,0.2,0.1,0.4,0.048,-1.8,-2.5,-4.3,-0.2
Cory Alexander,PG,23,SAS,80,1454,14.3,0.528,0.514,0.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,0.5,0.6,1.1,0.035,0.8,-2.1,-1.3,0.2
Jerome Allen,SG,24,TOT,76,943,8.7,0.451,0.42100000000000004,0.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,-0.3,0.8,0.4,0.021,-2.3,-1.1,-3.5,-0.4
Ray Allen*,SG,21,MIL,82,2532,14.6,0.541,0.32799999999999996,0.27399999999999997,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,3.3,1.5,4.9,0.092,1.6,-1.2,0.3,1.5
Derrick Alston,C,24,ATL,2,11,-9.0,0.0,0.0,0.4,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,-0.1,0.0,-0.1,-0.415,-17.5,-10.3,-27.8,-0.1
Ashraf Amaya,PF,25,WSB,31,144,8.8,0.382,0.025,0.7,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,-0.2,0.3,0.1,0.019,-7.0,-1.0,-8.1,-0.2
Greg Anderson,C,32,SAS,82,1659,11.4,0.531,0.004,0.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,0.7,1.5,2.2,0.064,-3.1,1.4,-1.6,0.2
Kenny Anderson,PG,26,POR,82,3081,19.5,0.54,0.322,0.38299999999999995,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,8.0,4.4,12.4,0.193,4.3,0.8,5.0,5.5
Nick Anderson,SG,29,ORL,63,2163,13.8,0.494,0.5589999999999999,0.13,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,1.3,2.9,4.2,0.09300000000000001,1.2,1.4,2.6,2.5
Shandon Anderson,SG,23,UTA,65,1066,10.4,0.534,0.14800000000000002,0.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,0.1,1.2,1.2,0.055999999999999994,-2.2,-0.7,-2.9,-0.2
Willie Anderson,SG,30,MIA,28,303,12.6,0.57,0.297,0.313,6.0,10.4,8.2,18.2,2.5,1.0,20.7,14.2,0.4,0.5,0.9,0.142,-1.0,1.7,0.8,0.2
Greg Anthony,PG,29,VAN,65,1863,16.6,0.526,0.469,0.35100000000000003,1.5,10.0,5.7,36.1,3.8,0.2,18.1,17.8,2.3,1.2,3.5,0.09,1.3,-1.5,-0.3,0.8
B.J. Armstrong,PG,29,GSW,49,1020,12.9,0.5379999999999999,0.275,0.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,1.4,-0.1,1.3,0.061,-0.5,-3.4,-3.9,-0.5
Darrell Armstrong,PG,28,ORL,67,1010,14.7,0.525,0.525,0.307,4.0,4.9,4.4,29.7,3.3,0.7,20.2,22.4,0.7,1.1,1.8,0.085,0.9,-1.7,-0.7,0.3
Vincent Askew,SG,30,TOT,43,838,9.7,0.532,0.129,0.473,3.6,10.2,7.0,17.3,1.1,0.6,17.0,14.9,0.7,0.8,1.5,0.086,-1.4,0.0,-1.4,0.1
Keith Askins,SF,29,MIA,78,1773,9.1,0.557,0.539,0.182,5.9,12.2,9.1,6.7,1.6,0.8,14.6,10.7,1.5,2.8,4.3,0.11599999999999999,-0.8,1.9,1.1,1.4
Stacey Augmon,SG,28,TOT,60,942,11.3,0.531,0.0,0.441,6.2,11.4,8.8,9.4,2.4,1.5,19.6,16.2,0.2,1.3,1.5,0.076,-3.0,1.4,-1.5,0.1
Isaac Austin,C,27,MIA,82,1881,14.2,0.536,0.005,0.354,8.7,21.2,15.1,9.9,1.3,1.8,17.9,22.5,0.3,3.7,4.0,0.102,-3.2,1.6,-1.6,0.2
Vin Baker,PF,25,MIL,78,3159,20.1,0.5529999999999999,0.043,0.41600000000000004,10.4,20.7,15.6,12.1,1.4,2.7,14.2,25.3,4.9,3.4,8.3,0.127,1.4,1.2,2.6,3.7
Charles Barkley*,PF,33,HOU,53,2009,23.0,0.581,0.29600000000000004,0.6,12.9,27.7,20.7,20.6,1.8,0.9,14.7,23.2,5.7,3.7,9.4,0.22399999999999998,4.4,2.8,7.1,4.6
Dana Barros,PG,29,BOS,24,708,14.0,0.552,0.415,0.17,0.8,7.6,3.9,18.6,1.8,0.6,12.5,18.8,0.9,0.1,1.0,0.065,0.5,-3.0,-2.5,-0.1
Brent Barry,SG,25,LAC,59,1094,15.0,0.526,0.456,0.245,3.1,8.9,5.9,23.1,2.5,1.1,15.3,20.3,1.2,0.9,2.1,0.09,1.2,-1.1,0.0,0.6
Jon Barry,SG,27,ATL,58,965,13.2,0.535,0.504,0.187,3.3,8.8,6.1,19.7,3.2,0.2,18.1,15.9,0.9,1.5,2.4,0.11800000000000001,-0.2,0.4,0.2,0.5
Benoit Benjamin,C,32,TOR,4,44,8.9,0.47200000000000003,0.0,0.33299999999999996,7.8,16.5,12.0,3.7,1.2,0.0,12.7,16.0,0.0,0.0,0.0,0.033,-5.5,-3.0,-8.4,-0.1
Elmer Bennett,PG,26,TOT,9,75,5.8,0.47,0.474,0.526,0.0,6.0,3.1,22.3,2.8,0.0,29.9,20.0,-0.2,0.0,-0.1,-0.075,-5.7,-2.4,-8.1,-0.1
Travis Best,PG,24,IND,76,2064,13.3,0.5329999999999999,0.25,0.318,2.1,7.4,4.8,26.4,2.6,0.2,17.8,19.3,1.8,2.3,4.1,0.096,0.6,-0.2,0.4,1.3
