Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Sherell Ford,SF,23,SEA,28,139,16.4,0.474,0.313,0.425,10.7,9.7,10.2,6.5,2.9,0.6,5.9,32.4,0.1,0.2,0.4,0.124,-1.0,-3.9,-4.9,-0.1
Greg Foster,C,27,UTA,73,803,9.0,0.501,0.033,0.295,8.3,18.6,13.6,4.7,0.5,2.3,17.4,19.0,-0.3,0.9,0.6,0.035,-4.6,-0.7,-5.2,-0.7
Rick Fox,SF,26,BOS,81,2588,16.1,0.547,0.293,0.27399999999999997,6.7,13.0,9.7,22.6,2.2,1.1,17.2,20.9,3.0,2.2,5.1,0.095,2.1,0.8,2.8,3.1
Kevin Gamble,SF,30,TOT,65,1325,8.4,0.48200000000000004,0.301,0.127,1.9,7.9,5.0,12.1,1.4,0.5,9.7,15.1,0.5,1.3,1.8,0.064,-2.2,-0.4,-2.5,-0.2
Kevin Garnett,SF,19,MIN,80,2293,15.8,0.522,0.038,0.203,9.1,17.0,13.1,10.6,1.9,4.4,12.1,17.6,1.8,2.6,4.4,0.092,-0.7,2.4,1.7,2.1
Chris Gatling,PF,28,TOT,71,1427,19.9,0.601,0.002,0.365,10.5,23.2,16.9,5.8,1.3,2.1,12.6,23.4,2.7,2.0,4.6,0.156,-0.3,-0.9,-1.2,0.3
Kenny Gattison,PF,31,VAN,25,570,10.7,0.51,0.0,0.41100000000000003,7.0,16.8,11.7,4.6,0.9,1.5,15.1,21.2,-0.3,0.5,0.1,0.012,-5.2,-1.4,-6.6,-0.7
Matt Geiger,C,26,CHH,77,2349,14.2,0.573,0.012,0.308,10.2,23.6,16.8,4.1,1.0,2.0,15.3,17.2,2.4,1.9,4.3,0.08800000000000001,-1.6,-0.3,-1.9,0.1
Kendall Gill,SG,27,TOT,47,1683,15.5,0.545,0.151,0.336,5.0,11.6,8.2,24.6,2.0,1.1,17.9,19.5,2.1,1.1,3.2,0.091,0.9,0.3,1.2,1.4
Armen Gilliam,SF,31,NJN,78,2856,17.6,0.522,0.001,0.28800000000000003,9.1,18.6,13.7,9.4,1.3,1.4,11.4,23.7,3.3,3.4,6.7,0.113,0.0,0.4,0.4,1.7
Gerald Glass,SF,28,TOT,15,71,10.4,0.389,0.182,0.03,9.2,3.3,6.4,10.3,2.2,1.1,0.0,20.7,0.0,0.1,0.1,0.047,-1.6,-2.6,-4.2,0.0
Anthony Goldwire,PG,24,CHH,42,621,10.4,0.536,0.439,0.317,1.5,7.0,4.2,27.4,1.4,0.0,22.6,20.3,0.2,0.1,0.3,0.021,-1.3,-3.9,-5.2,-0.5
Greg Graham,SG,25,TOT,53,613,11.1,0.5379999999999999,0.425,0.35200000000000004,3.0,7.5,5.2,14.3,2.1,0.1,17.1,19.3,0.3,0.4,0.8,0.06,-1.0,-1.9,-2.9,-0.1
Ron Grandison,PF,31,TOT,28,311,8.5,0.47100000000000003,0.24100000000000002,0.431,7.7,13.0,10.4,6.2,2.0,0.5,14.8,11.9,0.0,0.4,0.5,0.076,-3.1,1.1,-2.1,0.0
Brian Grant,PF,23,SAC,78,2398,15.8,0.56,0.02,0.425,8.4,17.9,13.2,9.2,0.9,3.2,15.6,21.7,2.4,2.3,4.7,0.094,-0.9,0.8,-0.2,1.1
Gary Grant,PG,30,NYK,47,596,13.5,0.562,0.133,0.32,2.5,7.7,5.2,19.0,3.5,0.4,17.9,19.7,0.4,1.0,1.4,0.11,-1.6,0.5,-1.1,0.1
Greg Grant,PG,29,TOT,31,527,7.7,0.408,0.34299999999999997,0.061,1.5,6.0,3.7,27.4,2.2,0.3,22.8,11.2,-0.2,0.2,0.0,0.003,-4.0,-2.4,-6.5,-0.6
Harvey Grant,PF,30,POR,76,2394,10.4,0.48700000000000004,0.099,0.162,5.6,11.6,8.6,7.3,1.3,1.3,10.1,14.8,0.9,3.1,4.0,0.081,-2.0,1.7,-0.3,1.0
Horace Grant,PF,30,ORL,63,2286,17.9,0.551,0.009000000000000001,0.306,9.3,20.0,14.8,11.4,1.4,2.4,7.7,16.5,5.0,3.1,8.0,0.16899999999999998,0.9,2.0,2.8,2.8
A.C. Green,SF,32,PHO,82,2113,12.9,0.5579999999999999,0.11699999999999999,0.534,9.2,20.9,15.2,4.9,1.1,0.8,12.6,13.2,2.7,1.7,4.4,0.1,-1.1,-0.3,-1.4,0.3
Tom Gugliotta,PF,26,MIN,78,2835,16.9,0.54,0.086,0.373,7.4,21.7,14.6,14.4,2.5,2.6,16.7,21.9,1.5,3.7,5.3,0.08900000000000001,-0.2,2.4,2.2,3.0
Jack Haley,C,32,CHI,1,7,1.8,0.363,0.0,0.33299999999999996,16.7,16.6,16.6,0.0,0.0,0.0,12.7,49.6,0.0,0.0,0.0,-0.228,-17.1,-13.9,-31.1,-0.1
Thomas Hamilton,C,20,BOS,11,70,4.3,0.321,0.0,0.581,15.6,19.7,17.6,2.1,0.0,9.0,18.8,29.5,-0.4,0.1,-0.3,-0.213,-13.5,-1.4,-14.9,-0.2
Geert Hammink,C,26,TOT,6,17,10.5,0.565,0.0,1.75,14.0,13.5,13.7,0.0,0.0,0.0,22.0,23.8,0.0,0.0,0.0,0.017,-6.5,-8.2,-14.7,-0.1
Tom Hammonds,PF,28,DEN,71,1045,11.2,0.537,0.0,0.429,9.4,15.3,12.3,3.5,1.1,0.9,13.1,15.7,0.9,0.9,1.8,0.081,-3.0,-1.4,-4.4,-0.6
Darrin Hancock,SF,24,CHH,63,838,10.0,0.5529999999999999,0.013999999999999999,0.341,5.7,8.6,7.1,8.7,1.8,0.4,18.5,16.3,0.2,0.3,0.5,0.027999999999999997,-2.5,-1.2,-3.7,-0.3
Anfernee Hardaway,PG,24,ORL,82,3015,24.6,0.605,0.233,0.47700000000000004,5.1,8.5,6.8,32.2,2.9,1.0,13.5,25.5,11.0,3.4,14.4,0.22899999999999998,6.4,0.0,6.4,6.4
Tim Hardaway,PG,29,TOT,80,2534,18.7,0.54,0.382,0.307,1.6,8.8,5.2,42.8,2.7,0.5,17.3,23.8,4.7,2.6,7.3,0.139,3.6,-1.4,2.1,2.7
Derek Harper,PG,34,NYK,82,2893,13.9,0.5579999999999999,0.34600000000000003,0.21899999999999997,1.3,6.8,4.1,20.1,2.4,0.1,14.7,19.4,2.6,3.7,6.3,0.105,0.8,-0.2,0.7,1.9
Ron Harper,PG,32,CHI,80,1886,14.4,0.528,0.20800000000000002,0.27699999999999997,4.6,8.6,6.6,15.5,2.9,1.3,11.5,14.9,3.0,3.3,6.3,0.161,0.5,2.1,2.6,2.2
Lucious Harris,SG,25,DAL,61,1016,15.5,0.5529999999999999,0.315,0.21899999999999997,3.9,9.2,6.3,12.9,1.7,0.2,9.6,19.7,1.8,0.4,2.1,0.10099999999999999,0.2,-2.6,-2.4,-0.1
Antonio Harvey,PF,25,TOT,55,821,8.9,0.392,0.009000000000000001,0.371,9.8,19.5,14.5,2.9,1.7,4.3,14.4,16.7,-1.3,1.0,-0.3,-0.02,-7.2,0.8,-6.4,-0.9
Hersey Hawkins,SG,29,SEA,82,2823,16.1,0.603,0.406,0.304,3.8,8.4,6.2,12.5,2.7,0.4,13.4,19.4,5.3,4.2,9.5,0.161,2.5,0.6,3.1,3.6
Alvin Heggs,SF,28,HOU,4,14,20.7,0.633,0.0,0.6,8.3,7.9,8.1,0.0,0.0,0.0,0.0,20.3,0.1,0.0,0.1,0.196,-0.5,-7.8,-8.4,0.0
Alan Henderson,PF,23,ATL,79,1416,12.9,0.48200000000000004,0.006999999999999999,0.461,13.2,16.7,14.9,5.8,1.7,2.4,14.3,19.3,0.5,1.6,2.0,0.069,-2.9,-0.2,-3.1,-0.4
Carl Herrera,PF,29,SAS,44,393,4.7,0.40700000000000003,0.01,0.175,8.9,13.9,11.5,5.9,1.2,1.5,21.7,15.3,-0.7,0.5,-0.2,-0.02,-6.3,0.9,-5.4,-0.3
Sean Higgins,SF,27,PHI,44,916,10.4,0.517,0.39899999999999997,0.115,2.5,9.3,5.8,10.7,1.4,0.9,12.6,18.9,0.2,0.1,0.3,0.013999999999999999,-1.7,-2.5,-4.2,-0.5
Grant Hill*,SF,23,DET,80,3260,20.9,0.537,0.021,0.529,4.9,23.4,14.5,31.4,1.7,1.2,14.9,25.9,6.0,5.7,11.7,0.172,1.9,3.2,5.1,5.8
Tyrone Hill,PF,27,CLE,44,929,14.6,0.544,0.0,0.531,13.2,21.9,17.5,6.4,1.9,1.9,17.0,20.5,0.6,1.4,1.9,0.10099999999999999,-2.7,0.2,-2.5,-0.1
Donald Hodge,C,26,TOT,15,115,5.9,0.375,0.0,0.0,7.5,14.1,10.6,4.9,0.4,4.8,7.7,9.4,0.0,0.1,0.1,0.026000000000000002,-6.3,0.9,-5.4,-0.1
Fred Hoiberg,SG,23,IND,15,85,14.4,0.594,0.158,0.9470000000000001,6.1,7.1,6.6,14.3,3.8,0.9,20.6,18.3,0.1,0.1,0.2,0.138,0.0,1.0,1.0,0.1
Jeff Hornacek,SG,32,UTA,82,2588,19.1,0.619,0.253,0.33,3.0,6.8,5.0,21.2,2.2,0.6,11.2,20.1,7.9,2.4,10.2,0.19,4.7,-0.3,4.3,4.2
Robert Horry,SF,25,HOU,71,2634,13.7,0.537,0.53,0.195,4.3,13.2,8.9,16.1,2.3,2.9,16.8,16.3,1.5,3.4,4.9,0.08900000000000001,0.6,2.4,3.0,3.3
Allan Houston,SG,24,DET,82,3072,15.7,0.5760000000000001,0.359,0.29100000000000004,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,4.2,3.0,7.1,0.11199999999999999,2.0,-1.3,0.7,2.1
Byron Houston,PF,26,SAC,25,276,13.1,0.57,0.047,0.406,13.0,22.3,17.6,4.0,2.4,1.9,18.4,14.7,0.3,0.4,0.7,0.11699999999999999,-2.1,0.6,-1.5,0.0
Juwan Howard,PF,22,WSB,81,3294,17.0,0.53,0.009000000000000001,0.284,6.9,16.5,11.8,18.7,1.0,0.8,15.2,27.0,2.5,3.1,5.6,0.08199999999999999,0.0,0.2,0.2,1.8
Lindsey Hunter,PG,25,DET,80,2138,11.2,0.499,0.46,0.191,2.6,8.2,5.5,14.7,2.2,0.7,10.5,17.0,1.3,2.6,3.9,0.08900000000000001,-0.1,0.3,0.2,1.2
Bobby Hurley,PG,24,SAC,72,1059,6.5,0.41100000000000003,0.33,0.37,1.3,6.9,4.1,29.5,1.4,0.2,24.3,14.7,-0.7,0.4,-0.3,-0.013000000000000001,-4.4,-2.9,-7.3,-1.4
Jaren Jackson,SG,28,HOU,4,33,1.5,0.32299999999999995,0.625,1.25,0.0,10.1,5.1,0.0,1.6,0.0,0.0,16.9,-0.1,0.0,0.0,-0.049,-7.3,-5.0,-12.3,-0.1
Jim Jackson,SG,25,DAL,82,2820,16.6,0.5379999999999999,0.255,0.32,5.9,9.7,7.6,14.3,0.8,0.5,11.3,24.9,4.8,0.6,5.4,0.092,1.5,-2.6,-1.1,0.6
Mark Jackson,PG,30,IND,81,2643,15.9,0.568,0.23800000000000002,0.305,3.2,11.0,7.3,37.4,2.0,0.2,22.1,15.8,4.6,2.6,7.2,0.13,2.1,-0.1,1.9,2.6
Henry James,PF,30,HOU,7,58,9.9,0.573,0.625,0.20800000000000002,6.0,5.7,5.9,5.7,0.0,0.0,13.2,23.4,0.1,0.0,0.1,0.057999999999999996,0.1,-6.0,-5.9,-0.1
Avery Johnson,PG,30,SAS,82,3084,16.3,0.534,0.035,0.295,1.4,5.9,3.7,39.1,2.0,0.5,16.3,17.5,5.6,3.5,9.1,0.141,0.6,-1.1,-0.4,1.2
Darryl Johnson,PG,30,CLE,11,28,9.7,0.466,0.083,0.16699999999999998,9.3,0.0,4.8,6.9,0.0,0.0,7.2,25.0,0.0,0.0,0.0,0.01,-3.9,-6.2,-10.1,-0.1
Eddie Johnson,SF,36,IND,62,1002,13.1,0.505,0.294,0.18100000000000002,5.8,13.0,9.5,12.0,1.1,0.3,10.6,24.1,0.8,0.8,1.6,0.077,-0.2,-2.0,-2.2,0.0
Ervin Johnson,C,28,SEA,81,1519,13.1,0.547,0.009000000000000001,0.361,10.5,22.6,16.8,4.8,1.3,6.7,19.4,14.9,0.5,3.4,3.9,0.12300000000000001,-3.8,3.9,0.1,0.8
Kevin Johnson,PG,29,PHO,56,2007,22.8,0.617,0.085,0.591,2.5,10.2,6.4,41.5,2.1,0.5,16.7,22.6,6.9,1.3,8.2,0.195,4.7,-1.4,3.3,2.7
Larry Johnson,PF,26,CHH,81,3274,19.8,0.563,0.149,0.46,9.0,16.4,12.7,18.0,0.9,1.0,11.0,22.9,8.8,1.3,10.1,0.149,3.6,-0.2,3.4,4.5
Magic Johnson*,PF,36,LAL,32,958,21.1,0.612,0.19699999999999998,0.684,5.0,17.0,11.1,34.1,1.4,1.0,21.2,22.7,2.6,1.1,3.6,0.18100000000000002,2.9,0.3,3.2,1.3
Charles Jones,PF,38,HOU,46,297,8.1,0.324,0.0,0.684,10.9,17.1,14.1,5.3,0.9,5.8,10.8,4.2,0.2,0.4,0.6,0.09,-4.3,3.8,-0.5,0.1
Eddie Jones,SG,24,LAL,70,2184,17.0,0.583,0.331,0.26899999999999996,2.4,9.8,6.2,17.0,3.1,1.4,11.4,17.8,4.1,2.7,6.8,0.15,2.5,1.1,3.6,3.1
Popeye Jones,PF,25,DAL,68,2322,13.4,0.486,0.053,0.18100000000000002,10.8,23.6,16.6,8.8,1.2,0.8,12.1,16.2,1.7,1.9,3.7,0.076,-2.1,0.3,-1.8,0.1
Michael Jordan*,SG,32,CHI,82,3090,29.4,0.5820000000000001,0.141,0.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,14.2,6.2,20.4,0.317,7.2,1.4,8.6,8.3
Reggie Jordan,PG,28,ATL,24,247,17.1,0.536,0.0,0.535,10.6,14.5,12.4,19.2,2.6,2.2,17.8,19.4,0.3,0.3,0.6,0.11800000000000001,-0.5,1.2,0.7,0.2
Adam Keefe,PF,25,UTA,82,1708,13.8,0.574,0.012,0.581,13.0,19.5,16.3,5.5,1.6,2.0,16.8,14.0,2.3,2.3,4.6,0.13,-0.1,1.7,1.5,1.5
Shawn Kemp,PF,26,SEA,79,2631,22.6,0.631,0.013000000000000001,0.7090000000000001,13.0,26.9,20.3,11.5,1.8,3.8,20.4,26.2,5.2,6.1,11.2,0.205,0.7,3.1,3.8,3.9
Tim Kempton,PF,32,ATL,3,11,-6.2,0.0,0.0,0.0,0.0,22.4,10.7,12.0,0.0,0.0,100.0,4.1,0.0,0.0,0.0,-0.06,-10.2,1.0,-9.1,0.0
Steve Kerr,PG,30,CHI,82,1919,15.2,0.6629999999999999,0.49200000000000005,0.174,1.5,5.2,3.3,14.1,1.7,0.1,7.5,12.9,6.0,2.3,8.3,0.20800000000000002,3.2,-0.9,2.3,2.1
Jerome Kersey,SF,33,GSW,76,1620,13.1,0.452,0.034,0.294,10.8,15.0,12.9,10.9,2.9,2.0,11.7,17.2,0.6,1.8,2.4,0.071,-1.4,1.8,0.4,1.0
Randolph Keys,SF,29,MIL,69,816,10.8,0.511,0.341,0.207,6.0,12.8,9.4,12.0,2.1,1.3,12.7,14.6,0.7,0.6,1.2,0.07200000000000001,-0.9,-0.1,-1.0,0.2
Jason Kidd*,PG,22,DAL,81,3034,17.8,0.46799999999999997,0.306,0.256,6.5,13.3,9.6,41.5,2.9,0.6,18.6,24.3,1.7,2.6,4.3,0.068,2.1,0.6,2.7,3.5
Chris King,SF,26,VAN,80,1930,10.8,0.49200000000000005,0.193,0.23199999999999998,6.0,11.5,8.7,9.5,1.9,1.3,13.8,17.7,-0.5,1.6,1.1,0.027999999999999997,-2.9,0.4,-2.5,-0.2
Frankie King,PG,23,LAL,6,20,0.7,0.284,0.091,0.273,5.9,5.7,5.8,15.0,5.2,0.0,14.0,32.1,-0.1,0.0,-0.1,-0.23399999999999999,-10.5,-1.2,-11.7,0.0
Jimmy King,SG,22,TOR,62,868,9.9,0.483,0.133,0.302,5.9,9.2,7.6,15.6,1.2,1.1,17.2,17.7,-0.1,0.1,0.0,0.0,-3.2,-2.4,-5.7,-0.8
Stacey King,PF,29,MIA,15,156,2.0,0.48100000000000004,0.0,0.222,6.9,10.2,8.6,2.1,2.4,1.0,31.3,16.8,-0.4,0.2,-0.2,-0.054000000000000006,-7.8,0.9,-6.9,-0.2
Joe Kleine,C,34,PHO,56,663,6.8,0.456,0.040999999999999995,0.14800000000000002,6.4,16.5,11.5,9.7,1.0,0.7,17.1,14.6,-0.3,0.4,0.1,0.006999999999999999,-4.4,-0.7,-5.1,-0.5
Jon Koncak,C,32,ORL,67,1288,7.1,0.507,0.051,0.326,5.8,18.5,12.3,5.3,1.1,2.5,17.0,8.5,0.3,1.6,2.0,0.073,-3.6,1.8,-1.8,0.1
Toni Kukoč,SF,27,CHI,81,2103,20.4,0.589,0.27399999999999997,0.33899999999999997,6.4,11.5,8.9,21.0,1.6,1.0,11.2,21.4,6.9,3.2,10.1,0.231,4.2,0.3,4.5,3.5
Christian Laettner,C,26,TOT,74,2495,17.7,0.563,0.043,0.43700000000000006,8.6,17.2,12.8,13.7,1.5,2.2,14.7,22.6,3.9,2.4,6.2,0.12,0.6,0.5,1.2,2.0
Andrew Lang,C,29,TOT,71,2365,11.9,0.484,0.006,0.19699999999999998,7.5,15.6,11.4,4.6,0.9,4.1,12.6,18.6,0.1,2.3,2.3,0.047,-3.7,0.5,-3.2,-0.7
Antonio Lang,SF,23,CLE,41,367,11.5,0.594,0.026000000000000002,0.61,6.1,13.3,9.6,5.6,2.2,2.9,19.7,16.7,0.2,0.5,0.7,0.09,-3.8,0.7,-3.1,-0.1
Eric Leckner,C,29,DET,18,155,8.8,0.634,0.0,0.44799999999999995,6.5,19.5,13.3,1.1,0.7,2.0,24.1,14.1,0.0,0.2,0.2,0.075,-5.3,-0.9,-6.2,-0.2
Tim Legler,SG,29,WSB,77,1775,15.9,0.688,0.5329999999999999,0.33299999999999996,2.0,7.2,4.6,11.3,1.3,0.5,7.9,14.4,5.7,1.1,6.8,0.184,3.9,-1.6,2.4,2.0
Voshon Lenard,SG,22,MIA,30,323,15.9,0.55,0.716,0.305,4.4,14.1,9.4,16.9,1.0,0.2,12.6,25.7,0.5,0.4,0.9,0.135,2.9,-2.4,0.5,0.2
Cedric Lewis,C,26,WSB,3,4,62.7,0.667,0.0,0.0,60.0,0.0,29.4,0.0,12.8,0.0,0.0,33.5,0.0,0.0,0.1,0.613,20.3,-3.8,16.5,0.0
Martin Lewis,SF,20,TOR,16,189,11.2,0.528,0.11699999999999999,0.41700000000000004,9.4,8.9,9.1,2.5,2.2,1.2,16.5,19.8,0.0,0.1,0.0,0.011000000000000001,-3.5,-3.2,-6.7,-0.2
Alton Lister,C,37,TOT,64,735,9.6,0.537,0.0,0.61,10.1,33.6,21.5,3.6,0.4,4.0,26.5,10.7,-0.1,1.0,0.9,0.06,-6.0,1.1,-4.9,-0.5
Brad Lohaus,PF,31,TOT,55,598,10.6,0.556,0.6970000000000001,0.028999999999999998,1.4,10.6,6.1,11.2,0.9,2.1,10.1,15.1,0.5,0.7,1.3,0.10099999999999999,-0.4,-0.5,-0.9,0.2
Grant Long,PF,29,ATL,82,3008,16.2,0.546,0.10300000000000001,0.402,9.4,22.1,15.5,9.7,1.9,0.9,13.7,17.1,4.7,3.8,8.4,0.134,0.2,1.3,1.5,2.7
Luc Longley,C,27,CHI,62,1641,11.9,0.515,0.0,0.205,7.4,15.2,11.3,10.6,0.7,3.9,17.2,17.8,0.7,2.8,3.5,0.10099999999999999,-2.5,2.4,-0.1,0.8
George Lynch,SF,25,LAL,76,1012,11.4,0.474,0.048,0.294,9.6,14.3,12.0,7.2,2.4,0.7,11.5,15.4,0.4,1.3,1.7,0.08,-2.3,0.3,-2.0,0.0
Sam Mack,SF,25,HOU,31,868,13.1,0.545,0.47,0.16,2.4,10.2,6.4,14.3,1.3,0.7,8.4,17.4,1.2,0.6,1.9,0.10300000000000001,0.8,-1.4,-0.6,0.3
Don MacLean,SF,26,DEN,56,1107,15.7,0.493,0.09,0.36200000000000004,6.5,15.0,10.7,14.7,1.0,0.3,9.7,28.3,0.7,0.8,1.5,0.064,-1.1,-2.5,-3.7,-0.5
Mark Macon,PG,26,DET,23,287,9.5,0.515,0.22399999999999998,0.16399999999999998,4.4,4.9,4.6,9.2,2.9,0.0,11.1,13.4,0.2,0.4,0.5,0.092,-1.5,0.3,-1.3,0.1
Rick Mahorn,C,37,NJN,50,450,7.5,0.42100000000000004,0.008,0.385,7.4,19.8,13.4,5.7,1.6,2.2,17.4,16.8,-0.5,0.6,0.1,0.011000000000000001,-6.6,0.6,-5.9,-0.4
Dan Majerle,SF,30,CLE,82,2367,15.1,0.53,0.5529999999999999,0.226,3.9,13.4,8.6,15.9,2.0,1.3,10.2,19.5,3.0,2.6,5.5,0.11199999999999999,1.4,-0.1,1.3,2.0
Jeff Malone,SG,34,TOT,32,510,8.8,0.449,0.083,0.166,1.8,7.4,4.5,9.0,1.6,0.0,9.6,20.1,-0.3,0.1,-0.2,-0.022000000000000002,-5.0,-3.0,-8.0,-0.8
Karl Malone*,PF,32,UTA,82,3113,26.0,0.575,0.026000000000000002,0.466,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,9.9,5.3,15.1,0.233,4.7,2.6,7.3,7.4
Danny Manning,PF,29,PHO,33,816,14.7,0.506,0.036000000000000004,0.281,4.3,15.8,10.1,13.9,2.4,2.2,15.0,28.0,-0.5,0.9,0.4,0.026000000000000002,-2.8,0.0,-2.8,-0.2
Rich Manning,PF,25,VAN,29,311,7.6,0.449,0.009000000000000001,0.124,5.8,15.2,10.4,4.2,0.5,1.5,12.5,20.0,-0.4,0.2,-0.2,-0.035,-7.3,-2.3,-9.6,-0.6
Šarūnas Marčiulionis*,SG,31,SAC,53,1039,16.7,0.599,0.40399999999999997,0.514,2.2,6.4,4.3,19.5,2.6,0.3,16.8,24.2,1.9,0.7,2.6,0.12,2.3,-2.2,0.1,0.6
Donny Marshall,SF,23,CLE,34,208,10.5,0.462,0.441,0.515,5.7,11.1,8.3,5.8,2.2,0.9,7.7,22.0,0.0,0.2,0.2,0.051,-2.8,-2.7,-5.5,-0.2
Donyell Marshall,SF,22,GSW,62,934,12.7,0.488,0.299,0.264,7.9,18.4,13.1,8.2,1.2,2.4,12.0,18.6,0.5,0.8,1.3,0.065,-1.9,-0.6,-2.5,-0.1
Cuonzo Martin,SG,24,VAN,4,19,20.6,0.765,0.6,0.4,6.0,6.4,6.2,19.5,2.8,0.0,14.5,16.5,0.1,0.0,0.1,0.17,5.0,-2.0,3.0,0.0
Darrick Martin,PG,24,TOT,59,1149,11.7,0.5,0.191,0.331,1.6,6.9,4.2,31.1,2.4,0.2,20.5,20.3,-0.2,0.7,0.5,0.023,-2.4,-2.7,-5.1,-0.9
Jamal Mashburn,SF,23,DAL,18,669,14.4,0.478,0.266,0.34700000000000003,5.3,10.3,7.6,13.2,1.1,0.3,11.1,30.9,0.0,0.2,0.2,0.013999999999999999,-0.7,-3.6,-4.3,-0.4
Anthony Mason,SF,29,NYK,82,3457,15.8,0.61,0.0,0.519,7.8,18.1,13.1,16.7,1.1,0.8,17.7,16.1,6.3,5.0,11.3,0.157,1.1,2.5,3.6,4.9
Tony Massenburg,PF,28,TOT,54,1463,13.0,0.5379999999999999,0.006999999999999999,0.363,10.0,18.3,14.1,3.4,1.0,1.0,12.7,17.4,1.2,0.6,1.7,0.057,-2.8,-2.4,-5.2,-1.2
Vernon Maxwell,PG,30,PHI,75,2467,13.9,0.508,0.43700000000000006,0.316,1.8,9.1,5.4,24.7,2.0,0.4,15.2,25.6,0.4,0.5,0.9,0.018000000000000002,0.9,-2.6,-1.7,0.2
Lee Mayberry,PG,25,MIL,82,1705,11.2,0.536,0.519,0.187,1.5,5.1,3.2,26.1,2.0,0.5,18.4,13.0,1.7,0.5,2.1,0.06,-0.4,-2.7,-3.1,-0.5
Bob McCann,PF,31,WSB,62,653,9.1,0.507,0.013000000000000001,0.484,8.5,17.1,12.9,5.3,1.6,1.6,18.5,15.6,-0.2,0.8,0.6,0.044000000000000004,-4.0,0.2,-3.8,-0.3
George McCloud,SF,28,DAL,79,2846,15.9,0.5429999999999999,0.529,0.175,3.9,10.6,7.0,12.5,2.0,0.9,10.7,22.6,4.2,1.6,5.8,0.098,2.6,-1.4,1.3,2.3
Clint McDaniel,SG,23,SAC,12,71,15.6,0.499,0.261,0.696,4.9,11.5,8.2,15.4,3.6,0.0,6.2,19.8,0.1,0.1,0.2,0.151,0.5,-0.6,-0.1,0.0
Antonio McDyess,PF,21,DEN,76,2280,15.6,0.516,0.005,0.276,11.6,17.4,14.5,5.8,1.2,3.6,13.5,22.4,0.9,2.7,3.6,0.075,-2.0,0.4,-1.6,0.2
Jim McIlvaine,C,23,WSB,80,1195,9.7,0.47600000000000003,0.0,0.7240000000000001,6.6,15.8,11.3,1.2,0.9,9.9,15.8,8.5,-0.1,1.9,1.8,0.07400000000000001,-4.9,4.9,0.0,0.6
Derrick McKey,SF,29,IND,75,2440,14.2,0.5429999999999999,0.096,0.31,6.5,11.8,9.2,17.5,1.8,1.4,15.0,17.9,3.1,2.6,5.7,0.11199999999999999,1.2,1.7,2.8,3.0
Aaron McKie,SG,23,POR,81,2259,13.4,0.534,0.162,0.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,0.113,-0.5,1.4,1.0,1.7
Nate McMillan,PG,31,SEA,55,1261,12.9,0.537,0.508,0.172,4.0,15.1,9.8,22.5,3.9,1.1,22.7,11.7,1.0,2.7,3.7,0.141,0.0,3.6,3.5,1.8
Loren Meyer,C,23,DAL,72,1266,9.4,0.484,0.033,0.309,8.7,18.6,13.2,6.7,0.8,1.8,15.2,14.5,0.2,0.8,1.1,0.040999999999999995,-4.5,-0.4,-4.9,-0.9
Anthony Miller,PF,24,LAL,27,123,7.8,0.457,0.057,0.28600000000000003,10.6,13.0,11.8,4.7,1.7,0.6,16.9,17.3,-0.1,0.1,0.0,0.013999999999999999,-4.7,-1.5,-6.2,-0.1
Oliver Miller,PF,25,TOR,76,2516,16.2,0.55,0.013999999999999999,0.278,8.3,18.3,13.3,14.2,2.2,4.3,18.5,19.2,1.3,2.4,3.8,0.07200000000000001,-0.9,2.3,1.4,2.1
Reggie Miller*,SG,30,IND,76,2621,20.1,0.625,0.385,0.467,1.9,8.1,5.1,17.2,1.6,0.4,12.8,25.8,8.3,2.0,10.3,0.188,5.5,-1.6,3.9,3.9
Chris Mills,SF,26,CLE,80,3060,15.2,0.5539999999999999,0.21600000000000003,0.271,4.8,14.6,9.6,11.2,1.4,1.5,10.0,19.9,4.7,3.1,7.8,0.122,0.4,0.3,0.6,2.0
Terry Mills,PF,28,DET,82,1656,15.2,0.517,0.307,0.233,8.2,17.2,12.9,11.0,1.4,1.0,11.6,24.3,1.3,2.4,3.7,0.106,-0.2,-0.7,-0.9,0.5
Harold Miner,SG,24,CLE,19,136,7.6,0.528,0.192,0.25,3.8,8.0,5.9,11.2,0.0,0.0,19.5,26.6,-0.1,0.0,-0.1,-0.028999999999999998,-5.3,-5.0,-10.3,-0.3
Greg Minor,SG,24,BOS,78,1761,14.0,0.535,0.042,0.203,5.8,10.7,8.2,13.5,1.0,0.4,10.1,18.9,2.3,0.7,3.0,0.08199999999999999,-0.5,-1.4,-1.8,0.1
Sam Mitchell,SF,32,MIN,78,2145,13.0,0.5660000000000001,0.028999999999999998,0.47100000000000003,6.0,12.9,9.5,5.7,1.2,0.9,10.4,17.2,3.1,1.1,4.3,0.095,-0.9,-1.3,-2.2,-0.1
