Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Zaid Abdul-Aziz,C,28,HOU,65,1450,17.1,0.501,0,0.377,11.8,25.8,18.8,8.2,1.2,2.8,0,0,1.9,1.8,3.7,0.124,-1.5,0.6,-0.9,0.4
Kareem Abdul-Jabbar*,C,27,MIL,65,2747,26.4,0.55,0,0.26899999999999996,7.6,26.4,17.3,16.7,1.1,4.0,0,0,8.1,4.8,12.9,0.225,5.8,2.2,8.0,7.0
Don Adams,SF,27,DET,51,1376,8.4,0.428,0,0.248,5.1,14.3,9.7,7.3,2.4,0.8,0,0,-0.8,1.3,0.5,0.017,-4.5,1.8,-2.7,-0.2
Rick Adelman,PG,28,TOT,58,1074,11.1,0.474,0,0.354,2.3,6.8,4.5,14.7,2.9,0.4,0,0,0.2,1.2,1.3,0.059000000000000004,-2.8,0.5,-2.3,-0.1
Lucius Allen,PG,27,TOT,66,2353,17.5,0.483,0,0.262,3.7,7.6,5.7,24.6,2.6,0.6,0,0,2.0,1.7,3.6,0.07400000000000001,1.6,-0.2,1.4,2.0
Dan Anderson,SG,24,POR,43,453,11.2,0.508,0,0.28600000000000003,1.9,4.6,3.4,23.7,1.6,0.1,0,0,0.2,0.2,0.5,0.05,-2.8,-2.6,-5.4,-0.4
Tiny Archibald*,PG,26,KCO,82,3244,21.7,0.544,0,0.45,1.5,5.6,3.5,29.0,1.7,0.1,0,0,9.0,2.2,11.2,0.165,6.2,-2.6,3.6,4.6
Jim Ard,C,26,BOS,59,719,9.5,0.384,0,0.244,8.2,19.2,13.8,7.1,0.8,2.3,0,0,-0.8,1.1,0.4,0.025,-5.1,-0.7,-5.8,-0.7
Dennis Awtrey,C,26,PHO,82,2837,13.5,0.501,0,0.27,8.6,17.0,12.8,16.4,1.0,1.0,0,0,2.7,2.4,5.2,0.087,-0.4,1.8,1.3,2.4
Gus Bailey,SG,23,HOU,47,446,11.4,0.423,0,0.325,5.7,14.8,10.3,17.5,1.8,2.0,0,0,-0.3,0.4,0.2,0.017,-3.9,1.0,-2.9,-0.1
Mike Bantom,SF,23,PHO,82,2239,15.5,0.5,0,0.28600000000000003,9.5,15.9,12.7,10.6,1.3,1.1,0,0,2.5,2.1,4.5,0.09699999999999999,0.0,-0.2,-0.2,1.0
Jim Barnett,SG,30,TOT,73,1776,13.2,0.508,0,0.365,3.3,7.0,5.1,14.7,1.2,0.5,0,0,1.8,0.8,2.5,0.069,-1.2,-1.3,-2.5,-0.2
Rick Barry*,SF,30,GSW,80,3235,23.5,0.509,0,0.19699999999999998,2.8,11.0,6.9,24.5,3.1,0.5,0,0,8.9,3.7,12.7,0.188,5.6,-0.3,5.3,6.0
Butch Beard,PG,27,GSW,82,2521,16.1,0.585,0,0.361,4.5,7.8,6.1,17.6,2.3,0.2,0,0,5.6,2.0,7.6,0.14400000000000002,2.4,-0.3,2.1,2.6
Zelmo Beaty*,C,35,LAL,69,1213,12.8,0.514,0,0.435,7.4,18.3,12.9,8.2,1.7,1.2,0,0,1.1,1.2,2.3,0.091,-3.3,0.9,-2.3,-0.1
Ron Behagen,PF,24,KCO,81,2205,12.6,0.455,0,0.317,6.9,21.0,13.9,10.3,1.3,1.0,0,0,-0.5,2.8,2.2,0.049,-2.5,-0.1,-2.6,-0.4
Dennis Bell,SF,23,NYK,52,465,11.2,0.396,0,0.19899999999999998,10.6,13.0,11.8,7.6,2.2,1.0,0,0,-0.4,0.5,0.1,0.013000000000000001,-3.7,-0.5,-4.2,-0.3
Walt Bellamy*,C,35,NOJ,1,14,16.4,1.042,0,1.0,0.0,37.0,17.9,0.0,0.0,0.0,0,0,0.0,0.0,0.1,0.222,-3.6,-5.1,-8.6,0.0
Leon Benbow,SG,24,CHI,39,252,10.8,0.41700000000000004,0,0.191,5.9,10.0,7.9,15.1,2.1,1.3,0,0,-0.2,0.4,0.2,0.033,-2.5,-0.9,-3.4,-0.1
