Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,29,SEA,27,0,223,5.7,12.1,0.467,0,0,0,5.7,12.1,0.467,2.6,4.7,0.552,4.8,7.4,12.3,2.6,1.3,2.4,0,4.7,13.9
Kareem Abdul-Jabbar*,C,28,LAL,82,0,3379,9.7,18.4,0.529,0,0,0,9.7,18.4,0.529,4.8,6.8,0.703,2.9,11.8,14.7,4.4,1.3,3.6,0,3.1,24.2
Alvan Adams,C,21,PHO,80,0,2656,8.5,18.2,0.469,0,0,0,8.5,18.2,0.469,3.5,4.8,0.735,2.9,6.9,9.9,6.1,1.6,1.6,0,3.7,20.6
Don Adams,SF,28,BUF,56,0,704,3.4,8.7,0.39399999999999996,0,0,0,3.4,8.7,0.39399999999999996,2.0,2.9,0.7020000000000001,1.9,5.5,7.4,3.7,1.5,0.4,0,6.5,8.9
Lucius Allen,PG,28,LAL,76,0,2388,6.9,15.1,0.45899999999999996,0,0,0,6.9,15.1,0.45899999999999996,3.0,3.8,0.7759999999999999,1.0,2.3,3.2,5.4,1.5,0.3,0,3.6,16.9
Dan Anderson,PG,25,POR,52,0,614,5.2,10.6,0.486,0,0,0,5.2,10.6,0.486,3.0,3.6,0.836,0.9,2.8,3.6,5.0,1.2,0.1,0,3.4,13.3
Jerome Anderson,SG,22,BOS,22,0,126,7.1,12.9,0.556,0,0,0,7.1,12.9,0.556,3.1,4.6,0.688,1.1,2.6,3.7,1.7,0.9,0.9,0,7.1,17.4
Tiny Archibald*,PG,27,KCK,78,0,3184,8.1,17.9,0.45299999999999996,0,0,0,8.1,17.9,0.45299999999999996,5.7,7.1,0.802,0.8,1.7,2.4,7.0,1.4,0.2,0,1.9,21.9
Jim Ard,C,27,BOS,81,0,853,4.5,12.4,0.364,0,0,0,4.5,12.4,0.364,3.0,4.2,0.71,4.1,8.1,12.2,2.0,0.5,1.5,0,6.0,12.0
Dennis Awtrey,C,27,PHO,74,0,1376,3.7,8.0,0.467,0,0,0,3.7,8.0,0.467,2.0,2.9,0.688,2.4,5.2,7.7,4.2,0.5,0.6,0,4.0,9.4
Gus Bailey,SG,24,HOU,30,0,262,3.8,10.6,0.364,0,0,0,3.8,10.6,0.364,1.9,3.8,0.5,2.7,4.1,6.9,5.6,1.9,1.1,0,4.5,9.6
Mike Bantom,SF,24,TOT,73,0,1571,5.0,10.9,0.462,0,0,0,5.0,10.9,0.462,3.1,4.6,0.6829999999999999,3.2,5.8,9.0,2.4,0.6,0.6,0,5.1,13.2
