Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,36,LAL,80,80,32.8,9.0,15.5,0.578,0.0,0.0,0.0,9.0,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5
Alvan Adams,C,29,PHO,70,13,20.7,3.8,8.3,0.462,0.0,0.1,0.0,3.8,8.3,0.465,0.462,1.9,2.3,0.825,1.7,2.9,4.6,3.1,1.0,0.4,1.7,2.8,9.6
Mark Aguirre,SF,24,DAL,79,79,36.7,11.7,22.3,0.524,0.2,0.7,0.268,11.5,21.6,0.532,0.528,5.9,7.9,0.7490000000000001,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5
Danny Ainge,SG,24,BOS,71,3,16.3,2.3,5.1,0.46,0.1,0.3,0.273,2.3,4.8,0.47200000000000003,0.46799999999999997,0.6,0.8,0.821,0.4,1.2,1.6,2.3,0.6,0.1,1.0,2.0,5.4
J.J. Anderson,SF,23,UTA,48,0,6.5,1.1,2.7,0.423,0.0,0.1,0.0,1.1,2.6,0.433,0.423,0.3,0.6,0.414,0.8,0.5,1.3,0.5,0.3,0.2,0.4,0.6,2.5
Richard Anderson,PF,23,DEN,78,17,17.7,3.5,8.2,0.426,0.0,0.2,0.158,3.4,7.9,0.435,0.429,1.5,1.9,0.773,1.7,3.5,5.2,2.5,0.6,0.4,1.4,2.3,8.5
Tiny Archibald*,PG,35,MIL,46,46,22.6,3.0,6.1,0.48700000000000004,0.1,0.4,0.222,2.9,5.7,0.506,0.495,1.4,2.2,0.634,0.3,1.3,1.7,3.5,0.7,0.0,1.7,1.7,7.4
Ken Austin,SF,22,DET,7,0,4.0,0.9,1.9,0.462,0.0,0.0,0.0,0.9,1.9,0.462,0.462,0.0,0.0,0.0,0.3,0.1,0.4,0.1,0.1,0.1,0.4,1.0,1.7
John Bagley,PG,23,CLE,76,19,22.5,3.4,8.0,0.423,0.0,0.2,0.11800000000000001,3.4,7.8,0.43200000000000005,0.425,2.1,2.6,0.7929999999999999,0.6,1.4,2.1,4.4,1.0,0.1,2.2,1.5,8.9
James Bailey,PF,26,HOU,73,0,16.1,3.5,7.1,0.491,0.0,0.0,0.0,3.5,7.1,0.49200000000000005,0.491,1.9,2.6,0.7190000000000001,1.4,2.6,4.0,1.1,0.5,0.5,1.4,2.7,8.8
Thurl Bailey,PF,22,UTA,81,54,24.8,3.7,7.3,0.512,0.0,0.0,0.0,3.7,7.3,0.512,0.512,1.1,1.4,0.752,1.4,4.3,5.7,1.6,0.5,1.5,1.3,2.4,8.5
Greg Ballard,SF,29,WSB,82,82,32.9,6.2,12.9,0.48100000000000004,0.0,0.2,0.133,6.2,12.8,0.486,0.48200000000000004,2.0,2.5,0.7979999999999999,1.7,4.2,6.0,3.5,1.1,0.4,1.7,2.6,14.5
Gene Banks,PF,24,SAS,80,66,32.5,5.3,9.3,0.568,0.0,0.1,0.16699999999999998,5.3,9.3,0.5710000000000001,0.568,2.5,3.4,0.741,2.6,4.7,7.3,3.2,1.3,0.3,2.1,3.2,13.1
Dave Batton,C,27,SAS,4,0,7.8,1.3,2.5,0.5,0.0,0.0,0.0,1.3,2.5,0.5,0.5,0.0,0.0,0.0,0.3,0.8,1.0,0.8,0.0,0.8,1.0,1.3,2.5
Kent Benson,C,29,DET,82,58,21.1,3.0,5.5,0.55,0.0,0.0,0.0,3.0,5.5,0.551,0.55,1.0,1.2,0.8220000000000001,1.4,3.6,5.0,1.6,0.9,0.6,1.0,2.8,7.1
Larry Bird*,PF,27,BOS,79,77,38.3,9.6,19.5,0.49200000000000005,0.2,0.9,0.247,9.4,18.6,0.504,0.49700000000000005,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2
Otis Birdsong,SG,28,NJN,69,57,31.4,8.4,16.6,0.508,0.1,0.3,0.25,8.4,16.3,0.513,0.51,2.8,4.6,0.608,1.1,1.4,2.5,3.9,1.2,0.2,2.5,2.6,19.8
Rolando Blackman,SG,24,DAL,81,81,37.3,8.9,16.3,0.546,0.0,0.1,0.091,8.9,16.2,0.55,0.547,4.6,5.7,0.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,1.6,22.4
Tom Boswell,PF,30,UTA,38,0,6.9,0.7,1.4,0.5379999999999999,0.0,0.0,1.0,0.7,1.3,0.529,0.5479999999999999,0.4,0.6,0.762,0.7,0.9,1.7,0.4,0.2,0.0,0.3,1.5,1.9
Charles Bradley,SG,24,SEA,8,0,4.9,0.4,0.9,0.429,0.0,0.0,0.0,0.4,0.9,0.429,0.429,0.6,0.9,0.7140000000000001,0.0,0.4,0.4,0.6,0.0,0.1,1.0,0.8,1.4
Mike Bratz,PG,28,GSW,82,0,17.4,2.6,6.4,0.409,0.2,0.6,0.294,2.4,5.7,0.42100000000000004,0.423,1.5,1.7,0.8759999999999999,0.5,1.2,1.7,3.1,1.0,0.1,1.3,1.9,6.8
Randy Breuer,C,23,MIL,57,8,8.3,1.2,3.1,0.384,0.0,0.0,0.0,1.2,3.1,0.384,0.384,0.6,0.8,0.696,0.8,1.1,1.9,0.3,0.2,0.7,0.6,1.7,2.9
Ron Brewer,SG,28,TOT,53,8,18.7,3.4,7.6,0.444,0.1,0.3,0.214,3.3,7.3,0.452,0.44799999999999995,1.0,1.3,0.7759999999999999,0.4,0.8,1.2,0.9,0.5,0.4,0.8,1.2,7.8
Junior Bridgeman,SF,30,MIL,81,10,30.0,6.3,13.5,0.465,0.1,0.4,0.19399999999999998,6.2,13.1,0.473,0.46799999999999997,2.4,3.0,0.807,1.0,3.1,4.1,3.3,0.7,0.2,1.8,2.8,15.1
Michael Brooks,SF,25,SDC,47,30,29.9,4.5,9.5,0.479,0.0,0.1,0.0,4.5,9.4,0.484,0.479,2.2,3.2,0.6890000000000001,3.0,4.3,7.3,1.9,1.1,0.3,1.7,2.7,11.3
