Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Carlos Boozer,PF,28,UTA,78,78,34.3,7.9,14.1,0.562,0.0,0.0,0.0,7.9,14.1,0.562,0.562,3.7,4.9,0.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5
Chris Bosh,C,25,TOR,70,70,36.1,8.6,16.5,0.518,0.1,0.3,0.364,8.5,16.2,0.521,0.522,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0
Ryan Bowen,SF,34,OKC,1,0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0
Earl Boykins,PG,33,WAS,67,1,16.7,2.6,6.0,0.42700000000000005,0.3,0.9,0.317,2.3,5.1,0.446,0.45,1.1,1.3,0.865,0.3,0.9,1.1,2.6,0.4,0.0,1.0,0.7,6.6
Elton Brand,PF,30,PHI,76,57,30.2,5.4,11.3,0.48,0.0,0.0,0.0,5.4,11.3,0.48100000000000004,0.48,2.3,3.1,0.738,2.4,3.7,6.1,1.4,1.1,1.1,1.7,3.1,13.1
Corey Brewer,SG,23,MIN,82,82,30.3,5.0,11.6,0.431,1.0,2.9,0.34600000000000003,4.0,8.7,0.45899999999999996,0.474,2.0,3.1,0.648,0.9,2.5,3.4,2.4,1.4,0.4,2.0,2.7,13.0
Ronnie Brewer,SG,24,TOT,58,53,30.0,3.6,7.4,0.48700000000000004,0.1,0.5,0.258,3.5,6.9,0.505,0.49700000000000005,1.5,2.3,0.639,0.8,2.4,3.2,2.7,1.6,0.3,0.9,1.4,8.8
Primož Brezec,C,30,TOT,21,0,4.5,0.4,1.2,0.34600000000000003,0.0,0.0,0.0,0.4,1.2,0.34600000000000003,0.34600000000000003,0.0,0.3,0.16699999999999998,0.6,0.6,1.2,0.0,0.0,0.1,0.1,0.9,0.9
Jon Brockman,PF,22,SAC,52,4,12.6,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.534,0.534,0.7,1.2,0.597,2.0,2.1,4.1,0.4,0.3,0.1,0.4,2.2,2.8
Aaron Brooks,PG,25,HOU,82,82,35.6,7.0,16.2,0.43200000000000005,2.5,6.4,0.39799999999999996,4.5,9.8,0.45399999999999996,0.511,3.0,3.6,0.8220000000000001,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6
Bobby Brown,PG,25,TOT,45,0,11.5,2.0,5.3,0.371,0.6,2.2,0.265,1.4,3.1,0.446,0.426,0.3,0.3,0.867,0.2,0.6,0.8,2.0,0.3,0.0,1.0,0.9,4.8
Derrick Brown,SF,22,CHA,57,0,9.4,1.2,2.6,0.46299999999999997,0.0,0.1,0.28600000000000003,1.2,2.5,0.47100000000000003,0.469,0.8,1.3,0.667,0.5,0.8,1.4,0.3,0.4,0.2,0.3,0.9,3.3
Devin Brown,SG,31,TOT,50,37,21.2,2.7,7.2,0.377,1.2,3.3,0.354,1.6,3.9,0.396,0.457,1.4,1.7,0.802,0.6,1.9,2.5,1.3,0.7,0.1,1.2,1.4,8.0
Kwame Brown,C,27,DET,48,1,13.8,1.3,2.6,0.5,0.0,0.0,0.0,1.3,2.6,0.504,0.5,0.7,2.0,0.337,1.1,2.6,3.7,0.5,0.3,0.3,0.9,1.9,3.3
Shannon Brown,SG,24,LAL,82,7,20.7,3.1,7.2,0.42700000000000005,0.8,2.3,0.32799999999999996,2.3,4.9,0.474,0.48,1.2,1.5,0.818,0.4,1.9,2.2,1.3,0.7,0.4,0.8,1.6,8.1
Kobe Bryant,SG,31,LAL,73,73,38.8,9.8,21.5,0.456,1.4,4.1,0.32899999999999996,8.5,17.4,0.48700000000000004,0.488,6.0,7.4,0.8109999999999999,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0
Chase Budinger,SF,21,HOU,74,4,20.1,3.4,7.6,0.441,1.2,3.4,0.369,2.1,4.3,0.49700000000000005,0.522,0.9,1.2,0.77,0.5,2.5,3.0,1.2,0.5,0.1,0.6,1.1,8.9
Caron Butler,SF-SG,29,TOT,74,74,37.6,6.1,14.2,0.428,0.6,2.0,0.29,5.5,12.2,0.45,0.44799999999999995,3.6,4.3,0.838,1.4,4.8,6.2,2.1,1.6,0.3,2.2,2.6,16.3
Rasual Butler,SF,30,LAC,82,64,33.0,4.3,10.6,0.409,1.8,5.3,0.336,2.6,5.3,0.48200000000000004,0.493,1.5,1.8,0.841,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9
Andrew Bynum,C,22,LAL,65,65,30.4,6.0,10.6,0.57,0.0,0.0,0.0,6.0,10.6,0.5710000000000001,0.57,3.0,4.0,0.7390000000000001,2.7,5.6,8.3,1.0,0.5,1.4,1.8,3.0,15.0
Will Bynum,PG,27,DET,63,20,26.5,3.8,8.5,0.444,0.2,0.9,0.218,3.6,7.6,0.47,0.455,2.3,2.8,0.7979999999999999,0.4,1.9,2.3,4.5,0.9,0.1,1.8,2.3,10.0
José Calderón,PG,28,TOR,68,39,26.7,4.0,8.4,0.48200000000000004,1.0,2.5,0.39799999999999996,3.0,5.8,0.519,0.542,1.2,1.5,0.7979999999999999,0.3,1.8,2.1,5.9,0.7,0.1,1.5,2.0,10.3
Marcus Camby,PF-C,35,TOT,74,74,31.3,3.2,6.8,0.475,0.0,0.1,0.28600000000000003,3.2,6.7,0.478,0.47700000000000004,1.1,1.6,0.639,3.4,8.4,11.8,2.5,1.3,2.0,1.2,2.2,7.5
Brian Cardinal,PF,32,MIN,29,0,9.2,0.5,1.2,0.389,0.1,0.3,0.33299999999999996,0.4,0.9,0.40700000000000003,0.431,0.6,0.6,0.9440000000000001,0.2,0.8,1.0,0.8,0.3,0.1,0.2,1.9,1.7
Rodney Carney,SG,25,PHI,68,0,12.6,1.7,4.1,0.401,0.6,2.0,0.304,1.1,2.2,0.49,0.473,0.8,0.9,0.825,0.4,1.6,2.0,0.5,0.4,0.3,0.3,1.2,4.7
DeMarre Carroll,SF,23,MEM,71,1,11.2,1.2,3.1,0.396,0.0,0.1,0.0,1.2,3.0,0.40700000000000003,0.396,0.5,0.7,0.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9
Matt Carroll,SG,29,DAL,25,0,4.8,0.7,2.0,0.36,0.2,0.8,0.21100000000000002,0.6,1.2,0.452,0.4,0.2,0.2,1.0,0.2,0.3,0.5,0.2,0.2,0.0,0.3,0.5,1.8
Anthony Carter,PG,34,DEN,54,7,15.9,1.4,3.4,0.42,0.3,1.2,0.27,1.1,2.2,0.5,0.467,0.2,0.2,0.846,0.3,1.3,1.6,3.0,0.7,0.2,1.1,1.3,3.3
Vince Carter,SG,33,ORL,75,74,30.8,5.8,13.5,0.428,1.6,4.3,0.36700000000000005,4.2,9.2,0.456,0.486,3.4,4.1,0.84,0.4,3.5,3.9,3.1,0.7,0.2,1.4,2.5,16.6
Omri Casspi,SF,21,SAC,77,31,25.1,3.9,8.7,0.446,1.0,2.6,0.369,2.9,6.1,0.48,0.502,1.5,2.3,0.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3
Mario Chalmers,PG,23,MIA,73,22,24.8,2.5,6.2,0.401,1.0,3.2,0.318,1.5,3.0,0.491,0.483,1.1,1.5,0.745,0.3,1.5,1.8,3.4,1.2,0.2,1.7,2.4,7.1
Tyson Chandler,C,27,CHA,51,27,22.8,2.1,3.7,0.574,0.0,0.0,0.0,2.1,3.7,0.574,0.574,2.3,3.1,0.732,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,6.5
Wilson Chandler,SG,22,NYK,65,64,35.7,6.3,13.2,0.479,0.6,2.3,0.267,5.7,10.9,0.524,0.502,2.0,2.5,0.8059999999999999,1.4,3.9,5.4,2.1,0.7,0.8,1.7,2.8,15.3
Earl Clark,PF,22,PHO,51,0,7.5,1.1,3.0,0.371,0.0,0.1,0.4,1.1,2.9,0.37,0.377,0.5,0.7,0.722,0.4,0.9,1.2,0.4,0.1,0.3,0.5,0.5,2.7
Jarron Collins,C,31,PHO,34,10,7.7,0.4,0.9,0.387,0.0,0.0,0.0,0.4,0.9,0.387,0.387,0.3,0.7,0.4,0.6,1.2,1.8,0.2,0.1,0.1,0.3,1.2,1.0
Jason Collins,C,31,ATL,24,0,4.8,0.3,1.0,0.348,0.0,0.0,0.0,0.3,0.9,0.364,0.348,0.0,0.1,0.0,0.2,0.4,0.6,0.2,0.1,0.1,0.2,0.9,0.7
Mardy Collins,SG,25,LAC,43,0,10.9,1.1,3.0,0.36700000000000005,0.1,0.4,0.235,1.0,2.6,0.387,0.38299999999999995,0.3,0.5,0.619,0.3,0.9,1.2,1.0,0.5,0.0,0.7,1.0,2.6
Darren Collison,PG,22,NOH,76,37,27.8,4.9,10.4,0.47700000000000004,0.6,1.5,0.4,4.3,8.9,0.49,0.506,1.9,2.3,0.851,0.5,2.0,2.5,5.7,1.0,0.1,2.7,1.2,12.4
Nick Collison,C,29,OKC,75,5,20.8,2.4,4.1,0.589,0.0,0.1,0.25,2.4,4.1,0.593,0.591,1.0,1.4,0.6920000000000001,2.0,3.1,5.1,0.5,0.5,0.6,0.8,3.1,5.9
Mike Conley,PG,22,MEM,80,80,32.1,4.6,10.4,0.445,1.0,2.7,0.387,3.6,7.7,0.46399999999999997,0.494,1.7,2.3,0.743,0.4,2.0,2.4,5.3,1.4,0.2,2.1,2.2,12.0
Will Conroy,PG,27,HOU,5,0,7.2,0.6,2.0,0.3,0.0,0.6,0.0,0.6,1.4,0.429,0.3,0.0,0.4,0.0,0.0,0.6,0.6,1.4,0.0,0.0,0.8,1.0,1.2
Brian Cook,PF,29,HOU,15,0,2.9,0.5,1.5,0.304,0.1,0.6,0.222,0.3,0.9,0.35700000000000004,0.348,0.3,0.5,0.7140000000000001,0.1,0.5,0.6,0.1,0.0,0.1,0.4,0.3,1.4
Daequan Cook,SG,22,MIA,45,3,15.4,1.8,5.6,0.32,0.9,2.8,0.317,0.9,2.8,0.32299999999999995,0.39899999999999997,0.5,0.6,0.84,0.2,1.6,1.8,1.0,0.3,0.2,0.5,1.1,5.0
Jamal Crawford,SG,29,ATL,79,0,31.1,6.3,14.0,0.449,2.1,5.4,0.382,4.2,8.6,0.491,0.523,3.4,4.0,0.857,0.4,2.1,2.5,3.0,0.8,0.2,1.7,1.7,18.0
Dante Cunningham,PF,22,POR,63,2,11.2,1.7,3.4,0.495,0.0,0.0,0.0,1.7,3.4,0.5,0.495,0.5,0.8,0.6459999999999999,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9
Eddy Curry,C,27,NYK,7,0,8.9,1.1,3.0,0.381,0.0,0.0,0.0,1.1,3.0,0.381,0.381,1.4,2.4,0.588,0.6,1.3,1.9,0.0,0.0,0.1,1.9,1.9,3.7
JamesOn Curry,PG,24,LAC,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Curry,PG,21,GSW,80,77,36.2,6.6,14.3,0.462,2.1,4.8,0.43700000000000006,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5
Samuel Dalembert,C,28,PHI,82,80,25.9,3.5,6.4,0.545,0.0,0.0,0.0,3.5,6.4,0.545,0.545,1.2,1.6,0.7290000000000001,2.9,6.6,9.6,0.8,0.5,1.8,1.5,3.1,8.1
Erick Dampier,C,34,DAL,55,47,23.3,2.4,3.9,0.624,0.0,0.1,0.33299999999999996,2.4,3.8,0.629,0.627,1.1,1.8,0.604,2.3,4.9,7.3,0.6,0.3,1.4,1.1,2.8,6.0
Marquis Daniels,SF,29,BOS,51,4,18.4,2.4,4.9,0.498,0.1,0.5,0.214,2.3,4.3,0.534,0.51,0.7,1.1,0.607,0.5,1.3,1.9,1.3,0.5,0.1,0.8,1.8,5.6
Baron Davis,PG,30,LAC,75,73,33.6,5.5,13.5,0.406,1.1,3.9,0.27699999999999997,4.4,9.6,0.45899999999999996,0.446,3.2,3.9,0.821,0.7,2.9,3.5,8.0,1.7,0.6,2.8,2.8,15.3
Glen Davis,PF,24,BOS,54,1,17.3,2.3,5.2,0.43700000000000006,0.0,0.1,0.0,2.3,5.1,0.444,0.43700000000000006,1.8,2.6,0.696,1.9,1.9,3.8,0.6,0.4,0.3,1.0,2.4,6.3
Paul Davis,PF,25,WAS,2,0,4.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,2.5
Ricky Davis,SF,30,LAC,36,2,13.9,1.7,4.0,0.434,0.4,1.2,0.381,1.3,2.8,0.455,0.49,0.5,0.9,0.581,0.3,1.3,1.6,1.1,0.3,0.1,0.8,1.1,4.4
Austin Daye,SF,21,DET,69,4,13.3,2.0,4.3,0.46399999999999997,0.4,1.4,0.305,1.6,2.9,0.54,0.514,0.7,0.8,0.821,0.5,2.0,2.5,0.5,0.4,0.4,0.7,1.7,5.1
Carlos Delfino,SF,27,MIL,75,66,30.4,4.0,9.8,0.408,1.8,4.9,0.36700000000000005,2.2,4.9,0.45,0.5,1.2,1.6,0.782,0.7,4.6,5.3,2.7,1.1,0.3,1.6,1.8,11.0
Luol Deng,SF,24,CHI,70,69,37.9,6.8,14.5,0.466,0.5,1.2,0.386,6.3,13.3,0.474,0.48200000000000004,3.6,4.7,0.764,1.9,5.4,7.3,2.0,0.9,0.9,1.9,1.8,17.6
DeMar DeRozan,SG,20,TOR,77,65,21.6,3.3,6.6,0.498,0.1,0.2,0.25,3.3,6.4,0.506,0.502,1.9,2.5,0.763,0.9,2.0,2.9,0.7,0.6,0.2,0.8,2.3,8.6
Boris Diaw,PF,27,CHA,82,82,35.4,4.5,9.4,0.483,0.8,2.5,0.32,3.7,6.9,0.541,0.525,1.4,1.8,0.769,1.6,3.6,5.2,4.0,0.7,0.7,2.2,2.7,11.3
Yakhouba Diawara,SG,27,MIA,6,2,7.3,0.3,1.7,0.2,0.2,1.0,0.16699999999999998,0.2,0.7,0.25,0.25,0.0,0.0,0.0,0.2,0.5,0.7,0.5,0.2,0.0,0.5,1.3,0.8
Travis Diener,PG,27,TOT,9,0,5.7,0.2,1.1,0.2,0.1,0.8,0.14300000000000002,0.1,0.3,0.33299999999999996,0.25,0.1,0.4,0.25,0.0,0.3,0.3,0.9,0.4,0.0,0.0,0.2,0.7
DeSagana Diop,C,28,CHA,27,0,9.7,0.6,1.1,0.517,0.0,0.0,0.0,0.6,1.1,0.517,0.517,0.1,0.3,0.222,0.9,1.5,2.4,0.2,0.2,0.5,0.4,1.1,1.2
Keyon Dooling,PG,29,NJN,53,8,18.3,2.4,6.1,0.39799999999999996,1.1,3.0,0.376,1.3,3.2,0.419,0.489,0.9,1.2,0.77,0.2,0.9,1.0,2.5,0.6,0.0,1.1,1.5,6.9
