Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,28,SAC,31,0,17.1,3.3,8.8,0.377,0.2,1.0,0.161,3.2,7.8,0.405,0.386,0.5,0.5,1.0,0.2,1.0,1.2,1.9,0.5,0.0,0.6,1.0,7.3
Tariq Abdul-Wahad,SG,23,SAC,59,16,16.3,2.4,6.1,0.40299999999999997,0.1,0.3,0.21100000000000002,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2.0,0.9,0.6,0.2,1.1,1.4,6.4
Shareef Abdur-Rahim,SF,21,VAN,82,82,36.0,8.0,16.4,0.485,0.3,0.6,0.41200000000000003,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
Cory Alexander,PG,24,TOT,60,22,21.6,2.9,6.7,0.428,1.1,2.9,0.375,1.8,3.7,0.469,0.51,1.3,1.7,0.784,0.3,2.2,2.4,3.5,1.2,0.2,1.9,1.6,8.1
Ray Allen*,SG,22,MIL,82,82,40.1,6.9,16.0,0.428,1.6,4.5,0.364,5.2,11.5,0.45299999999999996,0.479,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3.0,19.5
Derek Anderson,SF,23,CLE,66,13,27.9,3.6,8.9,0.408,0.3,1.3,0.20199999999999999,3.4,7.6,0.442,0.42200000000000004,4.2,4.8,0.873,0.8,2.0,2.8,3.4,1.3,0.2,1.9,2.1,11.7
Greg Anderson,C,33,ATL,50,0,8.0,0.7,1.6,0.444,0.0,0.1,0.0,0.7,1.5,0.474,0.444,0.3,0.8,0.39,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8
Kenny Anderson,PG,27,TOT,61,56,30.5,4.4,11.0,0.39799999999999996,0.9,2.6,0.35600000000000004,3.5,8.4,0.41100000000000003,0.44,2.5,3.2,0.789,0.6,2.2,2.8,5.7,1.4,0.0,2.3,2.2,12.2
Nick Anderson,SF,30,ORL,58,44,29.3,5.9,13.0,0.455,1.3,3.7,0.36,4.6,9.3,0.493,0.506,2.2,3.4,0.638,1.7,3.4,5.1,2.1,1.2,0.4,1.5,1.7,15.3
Shandon Anderson,SG,24,UTA,82,2,19.5,3.3,6.1,0.5379999999999999,0.1,0.4,0.21899999999999997,3.2,5.7,0.56,0.545,1.7,2.3,0.735,1.0,1.7,2.8,1.1,0.8,0.2,1.1,1.8,8.3
Chris Anstey,C,23,DAL,41,8,16.6,2.2,5.6,0.39799999999999996,0.1,0.4,0.188,2.2,5.2,0.414,0.405,1.3,1.8,0.716,1.3,2.5,3.8,0.9,0.8,0.7,1.0,2.3,5.9
Greg Anthony,PG,30,SEA,80,0,12.8,1.9,4.4,0.43,0.8,2.0,0.415,1.1,2.4,0.442,0.524,0.7,1.0,0.6629999999999999,0.2,1.2,1.4,2.6,0.8,0.0,1.1,1.2,5.2
B.J. Armstrong,PG,30,TOT,66,0,12.6,1.6,3.2,0.493,0.1,0.5,0.257,1.5,2.7,0.539,0.514,0.6,0.8,0.84,0.2,0.9,1.2,2.3,0.4,0.0,0.6,1.1,4.0
Darrell Armstrong,PG,29,ORL,48,17,25.8,3.3,7.9,0.41100000000000003,0.5,1.4,0.368,2.7,6.5,0.42,0.44299999999999995,2.2,2.6,0.8540000000000001,1.4,2.0,3.3,4.9,1.2,0.1,2.3,2.0,9.2
Vincent Askew,SG,31,POR,30,5,14.8,0.6,1.8,0.35200000000000004,0.0,0.1,0.0,0.6,1.7,0.365,0.35200000000000004,0.9,1.3,0.718,0.7,1.6,2.3,1.3,0.6,0.2,1.2,1.3,2.2
Keith Askins,SF,30,MIA,46,12,14.8,0.8,2.7,0.32,0.5,1.6,0.284,0.4,1.0,0.375,0.406,0.3,0.4,0.632,0.6,1.6,2.2,0.6,0.6,0.3,0.6,2.3,2.4
Stacey Augmon,SG,29,POR,71,23,20.4,2.2,5.2,0.414,0.0,0.1,0.14300000000000002,2.2,5.1,0.419,0.415,1.3,2.2,0.603,1.5,1.8,3.3,1.2,0.8,0.5,1.1,2.0,5.7
Isaac Austin,C,28,TOT,78,50,29.1,5.2,11.2,0.466,0.0,0.1,0.0,5.2,11.1,0.47,0.466,3.1,4.7,0.669,2.6,4.6,7.1,2.2,0.8,0.7,2.6,3.0,13.5
Vin Baker,C,26,SEA,82,82,35.9,7.7,14.2,0.542,0.0,0.1,0.14300000000000002,7.7,14.1,0.545,0.5429999999999999,3.8,6.4,0.591,3.5,4.5,8.0,1.9,1.1,1.0,2.1,3.4,19.2
Charles Barkley*,PF,34,HOU,68,41,33.0,5.3,10.9,0.485,0.3,1.2,0.214,5.0,9.7,0.52,0.49700000000000005,4.4,5.8,0.746,3.5,8.1,11.7,3.2,1.0,0.4,2.2,2.8,15.2
Dana Barros,PG,30,BOS,80,15,21.1,3.5,7.6,0.461,1.3,3.1,0.40700000000000003,2.3,4.5,0.499,0.544,1.5,1.8,0.847,0.4,1.6,1.9,3.6,1.0,0.1,1.3,1.6,9.8
Brent Barry,SG,26,TOT,58,36,27.6,3.7,8.7,0.42100000000000004,1.6,3.9,0.39299999999999996,2.1,4.8,0.444,0.51,2.0,2.3,0.858,0.5,2.4,2.9,2.6,1.1,0.5,1.8,2.0,10.9
Drew Barry,PG,24,ATL,27,0,9.5,0.7,1.4,0.474,0.3,0.8,0.429,0.3,0.6,0.529,0.5920000000000001,0.4,0.5,0.846,0.2,1.1,1.3,1.8,0.4,0.0,1.1,1.0,2.1
Jon Barry,SG,28,LAL,49,1,7.6,0.8,2.1,0.365,0.4,1.2,0.295,0.4,0.9,0.465,0.452,0.6,0.6,0.9309999999999999,0.2,0.6,0.8,1.0,0.5,0.1,0.4,0.7,2.5
Tony Battie,PF,21,DEN,65,49,23.2,3.6,8.1,0.446,0.0,0.2,0.214,3.6,7.9,0.452,0.449,1.1,1.6,0.7020000000000001,2.1,3.3,5.4,0.9,0.8,1.1,1.5,3.1,8.4
Corey Beck,PG,26,CHH,59,14,12.5,1.2,2.7,0.45899999999999996,0.0,0.1,0.5,1.2,2.6,0.45799999999999996,0.465,0.7,1.0,0.7290000000000001,0.5,1.1,1.5,1.7,0.6,0.1,1.2,1.7,3.2
Benoit Benjamin,C,33,PHI,14,0,14.1,1.6,2.9,0.537,0.0,0.0,0.0,1.6,2.9,0.537,0.537,1.4,2.1,0.633,1.3,2.5,3.8,0.2,0.3,0.3,0.9,1.9,4.5
Mario Bennett,PF,24,LAL,45,4,7.9,1.8,3.0,0.593,0.0,0.0,0.5,1.8,3.0,0.594,0.596,0.4,1.0,0.364,1.3,1.5,2.8,0.4,0.4,0.2,0.5,1.4,3.9
David Benoit,SF,29,TOT,77,0,14.6,2.0,5.3,0.373,0.7,2.2,0.324,1.3,3.1,0.408,0.44,0.8,1.0,0.8240000000000001,0.8,1.9,2.6,0.3,0.5,0.3,0.7,2.0,5.5
Travis Best,PG,25,IND,82,0,18.9,2.5,5.9,0.419,0.3,0.9,0.3,2.2,5.0,0.439,0.441,1.4,1.6,0.855,0.3,1.1,1.5,3.4,1.0,0.1,1.4,2.4,6.5
Chauncey Billups,PG,21,TOT,80,70,27.7,3.5,9.4,0.374,1.3,4.1,0.32899999999999996,2.2,5.3,0.408,0.445,2.8,3.3,0.85,0.8,1.6,2.4,3.9,1.3,0.1,2.2,2.2,11.2
Mookie Blaylock,PG,30,ATL,70,69,38.6,5.3,13.4,0.392,1.3,4.8,0.26899999999999996,4.0,8.6,0.46,0.44,1.4,1.9,0.7090000000000001,1.2,3.7,4.9,6.7,2.6,0.3,2.5,1.7,13.2
Corie Blount,PF,29,LAL,70,3,14.7,1.5,2.7,0.5720000000000001,0.0,0.1,0.0,1.5,2.6,0.585,0.5720000000000001,0.6,1.1,0.5,1.6,2.6,4.3,0.5,0.4,0.4,0.7,2.2,3.6
Muggsy Bogues,PG,33,TOT,61,31,25.7,2.3,5.3,0.43700000000000006,0.1,0.3,0.25,2.2,5.0,0.446,0.44299999999999995,1.0,1.1,0.897,0.5,1.7,2.2,5.4,1.1,0.0,1.7,1.0,5.7
Etdrick Bohannon,PF,24,IND,5,0,2.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.2,0.2,0.0,0.4,0.6,0.6,0.0
Keith Booth,SF,23,CHI,6,0,2.8,0.3,1.0,0.33299999999999996,0.0,0.2,0.0,0.3,0.8,0.4,0.33299999999999996,1.0,1.0,1.0,0.3,0.3,0.7,0.2,0.0,0.0,0.5,0.5,1.7
