Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,SG,27,TOT,24,12,18.4,2.3,6.1,0.374,0.0,0.1,0.5,2.3,6.0,0.37200000000000005,0.37799999999999995,1.0,1.4,0.727,1.7,1.8,3.5,1.0,0.8,0.4,1.1,2.3,5.6
Shareef Abdur-Rahim,PF,25,ATL,77,77,38.7,7.8,16.8,0.461,0.3,0.9,0.3,7.5,15.9,0.47,0.469,5.4,6.8,0.8009999999999999,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8,21.2
Courtney Alexander,SG,24,WAS,56,28,23.7,4.0,8.5,0.47,0.1,0.3,0.278,3.9,8.1,0.478,0.47600000000000003,1.8,2.2,0.81,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2.0,9.8
Victor Alexander,C,32,DET,15,0,6.5,1.2,3.4,0.353,0.0,0.1,0.0,1.2,3.3,0.36700000000000005,0.353,0.3,0.5,0.5,0.5,1.5,1.9,0.4,0.0,0.1,0.3,0.4,2.7
Malik Allen,PF,23,MIA,12,2,13.4,1.8,4.3,0.431,0.0,0.1,0.0,1.8,4.2,0.44,0.431,0.7,0.8,0.8,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3
Ray Allen*,SG,26,MIL,69,67,36.6,7.7,16.6,0.462,3.3,7.7,0.434,4.4,9.0,0.485,0.561,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8
Rafer Alston,PG,25,MIL,50,7,12.0,1.3,3.8,0.34600000000000003,0.5,1.4,0.38,0.8,2.4,0.325,0.41600000000000004,0.4,0.6,0.621,0.2,1.2,1.4,2.9,0.6,0.0,0.8,0.8,3.5
John Amaechi,PF,31,UTA,54,0,10.9,1.0,3.1,0.325,0.0,0.0,0.0,1.0,3.1,0.325,0.325,1.2,1.9,0.638,1.0,1.1,2.0,0.5,0.1,0.2,1.0,1.2,3.2
Chris Andersen,C,23,DEN,24,1,10.9,1.0,3.1,0.33799999999999997,0.0,0.2,0.0,1.0,2.9,0.35700000000000004,0.33799999999999997,0.9,1.2,0.7859999999999999,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3.0
Derek Anderson,SG,27,POR,70,27,26.6,3.5,8.7,0.40399999999999997,1.2,3.3,0.373,2.3,5.5,0.42200000000000004,0.473,2.5,3.0,0.856,0.7,2.0,2.7,3.1,1.0,0.1,1.2,1.6,10.8
