Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,41,LAL,74,74,22.9,4.2,8.9,0.475,0.0,0.0,0.0,4.2,8.9,0.47700000000000004,0.475,1.6,2.2,0.7390000000000001,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1
Mark Acres,C,26,BOS,62,0,10.2,0.9,1.8,0.48200000000000004,0.0,0.0,1.0,0.9,1.8,0.478,0.48700000000000004,0.4,0.8,0.542,1.0,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2
Michael Adams,PG,26,DEN,77,77,36.2,6.1,14.1,0.433,2.2,6.1,0.35600000000000004,3.9,8.0,0.49,0.509,4.2,5.1,0.8190000000000001,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5
Mark Aguirre,SF,29,TOT,80,76,32.5,7.3,15.9,0.461,0.6,2.2,0.293,6.7,13.7,0.488,0.48100000000000004,3.6,4.9,0.733,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9
Danny Ainge,PG,29,TOT,73,54,32.6,6.6,14.4,0.457,1.6,4.2,0.38,5.0,10.2,0.488,0.512,2.8,3.3,0.8540000000000001,1.0,2.5,3.5,5.5,1.3,0.1,2.0,2.5,17.5
Mark Alarie,PF,25,WSB,74,5,15.4,2.8,5.8,0.478,0.2,0.5,0.342,2.6,5.3,0.491,0.493,1.0,1.2,0.8390000000000001,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7
Steve Alford,PG,24,TOT,66,3,13.7,2.2,4.9,0.457,0.3,0.8,0.364,1.9,4.1,0.47600000000000003,0.488,0.8,0.9,0.82,0.2,0.9,1.1,1.4,0.7,0.0,0.7,0.9,5.5
Randy Allen,SG,24,SAC,7,0,6.1,1.1,2.7,0.42100000000000004,0.0,0.1,0.0,1.1,2.6,0.444,0.42100000000000004,0.1,0.3,0.5,0.4,0.6,1.0,0.0,0.1,0.1,0.3,1.0,2.4
Greg Anderson,PF,24,SAS,82,56,29.3,5.6,11.1,0.503,0.0,0.0,0.0,5.6,11.1,0.505,0.503,2.5,4.9,0.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7
Michael Anderson,PG,22,SAS,36,12,20.3,2.0,4.9,0.41700000000000004,0.0,0.2,0.14300000000000002,2.0,4.7,0.429,0.42,1.6,2.3,0.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
